OTUid	OTU_115	OTU_4	OTU_3	OTU_1	OTU_239	OTU_5	OTU_2	
O2_5A_10	0.0131554015645725	0.469507078472241	0.0212489510868094	0.00646942587228974	0.00108274909996481	0.00476409603984517	0.349809165471131	
O2_5B_10	0.000460809268849293	0.525278679891161	0.0595979987711753	0.0073071184060388	0.00111910822434828	0.00441060300184324	0.303256385499868	
O2_5C_10	0.000962592582689377	0.0130217385491591	0.0201877055536244	0.153132436696168	0.00264712960239579	0.00981309660686115	0.735420733174684	
O2_5A_15	0.000780284803953443	0.108654658950517	0.381884387801548	0.0121594381949412	0.000520189869302295	0.00435659015540672	0.353208921256259	
O2_5B_15	0.00128609844499006	0.241786507658132	0.233309949725243	0.0115748860049106	0.00239681982929966	0.00485209867882614	0.36630422074126	
O2_5C_15	0.0250296208530806	0.199200236966825	0.0313240521327014	0.0301392180094787	0.00192535545023697	0.00651658767772512	0.663803317535545	
