OTUid	OTU_115	OTU_4	OTU_3	OTU_1	OTU_239	OTU_5	OTU_2	
O2_25A_10	0.00441885715728606	0.0216145241522107	0.0199479837386057	0.00583289144761761	0.0012877812286948	0.00653990859278337	0.566371234502437	
O2_25B_10	0.00575535043165128	0.00567672542575441	0.00929347569701068	0.564684792351359	0.00110075008255626	0.00575535043165128	0.349928451244634	
O2_25C_10	0.000253292806484296	0.00405268490374873	0.183320668693009	0.206876899696049	0.00151975683890578	0.00698665991219183	0.515873015873016	
O2_25A_15	0.0525107917600131	0.0274301950713076	0.617452598218677	0.102180208731763	0.000764985519916944	0.00289601661111415	0.159881973662641	
O2_25B_15	0.00600555886440341	0.0130037720865595	0.0250645225332539	0.604973198332341	0.00198530871550526	0.00565812983918999	0.318145721659718	
O2_25C_15	0.013517359134889	0.0120470498956555	0.4314171883893	0.255169797002466	0.0011857332574464	0.00426863972680706	0.248624549421362	
