OTUid	OTU_115	OTU_4	OTU_3	OTU_1	OTU_239	OTU_5	OTU_2	
O2_15A_10	0.000203533338760889	0.00199462671985671	0.0491940079785069	0.488764959700399	0.00122120003256533	0.00588211349018969	0.410893104290483	
O2_15B_10	8.77943855490441e-05	0.00215096244595158	0.115427668400606	0.272821053093655	0.00173393911459362	0.00796734048857576	0.543908167072716	
O2_15C_10	0.0017664136556018	0.102032250166148	0.517769072020707	0.00834236944279268	0.000787015985169121	0.00363776277589283	0.234863059218581	
O2_15A_15	0.00193254497768371	0.00257672663691161	0.0346017576956702	0.391846500713201	0.00156444117241062	0.00630377766530162	0.46643353425666	
O2_15B_15	0.000241266164833044	0.00241266164833044	0.585118702953098	0.0123045744064852	0.00101331789229878	0.00414977803512835	0.342549700829956	
O2_15C_15	0.000368091707419677	0.00347057895567124	0.328916232844297	0.0226113477414945	0.00152495135931009	0.00625755902613451	0.592049219119735	
