Time (h)	5 (mean)	5 (SE)	15 (mean)	15 (SE)	25 (mean)	25 (SE)	50 (mean)	50 (SE)	75 (mean)	75 (SE)
0	20.17688195	0.153132361	19.0565992	0.073367396	18.90329735	0.118673889	16.30011401	0.097675125	15.91096316	0.435802331
2	19.36909913	0.127076057	18.33725975	0.029346958						
4	18.42570313	0.13997607	17.89504288	0.014673479	17.08136383	0.086049666	14.02122305	0.027995214	13.4198081	0.030107462
6	17.81544384	0.014673479	17.00766101	0.039618394						
8	17.93042023	0.032281654	16.273581	0.308143062	16.16450084	0.011738783	12.37912439	0.025457535	12.3820725	0.044020438
12	17.65919388	0.038822377	16.92216575	0.014673479	16.12617538	0.029456804	11.79245	0.052905982	11.35023313	0.211623926
18	17.65919388	0.014673479	16.77476013	0.014673479	16.03478389	0.227987338	11.93985563	0.132061313	10.64268613	0.014673479
24	17.5707505	0.029346958	16.77476013	0.014673479	16.68631675	0.229207072	9.581365625	0.073367396	8.343158375	0.123056174
