Time (hr)	5 (mean)	5 (SE)	15 (mean)	15 (SE)	25 (mean)	25 (SE)	50 (mean)	50 (SE)	75 (mean)	75 (SE)
0	0.416726808	0.014673479	1.251647773	0.0292367	1.800435894	0.035581296	3.179742935	0.0584734	4.236233435	0.096220438
2	0.121789877	0.019411188	0.431400288	0						
4	0.050916973	0.002054287	0.096111289	0.014673479	0.977253713	0.044020437	1.088772154	0.069385544	3.297130769	0.096844963
6	0.004402044	0	0.03521635	0.004402044						
8	0	0	0.020542871	0.001467348	0	0	0.264122625	0.025415211	1.951572729	0.077644753
12	0	0	0	0	0	0	0.10564905	0.014150591	1.423327479	0.038822377
18	0	0	0	0	0	0	0.058693917	0.014673479	0.73954335	0.132061313
24	0	0	0	0	0	0	0.032281654	0.002934696	0.227438927	0.014673479
